Address Recognizer;Cap;Address;Neighborhood;Sell Price;Rent Price
via-pellegrino-rossi;20161;via pellegrino rossi;AFFORI;0;0
viale-affori;20161;viale affori;AFFORI;2532;7.38
via-cialdini;20161;via cialdini;AFFORI;0;0
via-astesani;20161;via astesani;AFFORI;0;0
via-franco-faccio;20161;via franco faccio;AFFORI;0;0
via-cevedale;20158;via cevedale;AFFORI;0;0
via-nicotera;20161;via nicotera;AFFORI;0;0
via-sbarbaro;20161;via sbarbaro;AFFORI;0;0
viale-enrico-fermi;20161;viale enrico fermi;AFFORI;0;0
via-iseo;20161;via iseo;AFFORI;0;0
via-luigi-bertelli;20127;via luigi bertelli;PADOVA;0;0
via-rovetta;20127;via rovetta;PADOVA;0;0
via-cavezzali;20127;via cavezzali;PADOVA;0;0
via-dei-valtorta;20127;via dei valtorta;PADOVA;0;0
via-asiago;20128;via asiago;PADOVA;0;0
via-privata-terenzio-mamiani;20127;via privata terenzio mamiani;PADOVA;0;0
via-policarpo-petrocchi;20127;via policarpo petrocchi;PADOVA;0;0
via-bono-cairoli;20127;via bono cairoli;PADOVA;0;0
via-ponte-nuovo;20128;via ponte nuovo;PADOVA;2424;16.27
via-spadolini;20141;via spadolini;EX OM - MORIVIONE;0;0
via-corrado-il-salico;20141;via corrado il salico;EX OM - MORIVIONE;0;0
via-carlo-bazzi;20141;via carlo bazzi;EX OM - MORIVIONE;2750;9.25
via-dei-fontanili;20123;via dei fontanili;EX OM - MORIVIONE;0;0
via-adriano;20128;via adriano;ADRIANO;0;0
via-san-mamete;20128;via san mamete;ADRIANO;2450;7.75
via-privata-cascia;20128;via privata cascia;ADRIANO;0;0
via-rizzoli;20132;via rizzoli;ADRIANO;0;0
via-privata-vipiteno;20128;via privata vipiteno;ADRIANO;2450;7.75
via-ceresio;20154;via ceresio;FARINI;4407;13.25
via-paolo-sarpi;20154;via paolo sarpi;FARINI;0;0
via-carlo-farini;20154;via carlo farini;FARINI;0;0
piazzale-cimitero-monumentale;20154;piazzale cimitero monumentale;FARINI;4407;13.25
via-quadrio;20154;via quadrio;FARINI;0;0
via-toqueville;20154;via toqueville;FARINI;0;0
via-pasubio;20154;via pasubio;FARINI;0;0
via-aristotile-fioravanti;20154;via aristotile fioravanti;FARINI;3638;10
via-farini;20154;via farini;FARINI;0;0
viale-francesco-crispi;20121;viale francesco crispi;FARINI;0;0
viale-pasubio;20154;viale pasubio;FARINI;0;0
piazzale-baiamonti;20154;piazzale baiamonti;FARINI;0;0
via-pontida;20121;via pontida;FARINI;6375;19.75
via-alessandro-volta;20121;via alessandro volta;FARINI;0;0
via-tazzoli;20154;via tazzoli;FARINI;0;0
corso-como;20154;corso como;FARINI;5175;16.5
via-bastioni-di-porta-volta;20121;via bastioni di porta volta;FARINI;0;0
via-varese;20121;via varese;FARINI;0;0
corso-garibaldi;20121;corso garibaldi;FARINI;0;0
via-pietro-giannone;20154;via pietro giannone;FARINI;0;0
piazza-xxv-aprile;20154;piazza xxv aprile;FARINI;0;0
piazza--aprile;20124;piazza  aprile;FARINI;0;0
via-procaccini;20154;via procaccini;FARINI;0;0
via-vincenzo-capelli;20124;via vincenzo capelli;FARINI;0;0
via-carmagnola;20159;via carmagnola;FARINI;0;0
via-giordano-bruno;20154;via giordano bruno;FARINI;3638;10
via-giovanni-battista-niccolini;20154;via giovanni battista niccolini;FARINI;3638;10
via-messina;20154;via messina;FARINI;3638;10
via-pastrengo;20159;via pastrengo;FARINI;0;0
fabbrica-del-vapore;20154;fabbrica del vapore;FARINI;0;0
via-arnoldo-di-cambio;20154;via arnoldo di cambio;FARINI;0;0
via-antonio-rosmini;20154;via antonio rosmini;FARINI;0;0
viale-umbria;20135;viale umbria;UMBRIA - MOLISE;3069;9
via-decembrio;20137;via decembrio;UMBRIA - MOLISE;0;0
via-friuli;20135;via friuli;UMBRIA - MOLISE;0;0
via-maestri-campionesi;20135;via maestri campionesi;UMBRIA - MOLISE;0;0
piazzale-martini;20135;piazzale martini;UMBRIA - MOLISE;0;0
via-cuccagna;20135;via cuccagna;UMBRIA - MOLISE;0;0
via-tito-livio;20137;via tito livio;UMBRIA - MOLISE;0;0
via-ciceri-visconti;20137;via ciceri visconti;UMBRIA - MOLISE;0;0
via-pier-candido-decembrio;20137;via pier candido decembrio;UMBRIA - MOLISE;2975;7.75
piazza-insubria;20137;piazza insubria;UMBRIA - MOLISE;0;0
via-lodovico-muratori;20135;via lodovico muratori;UMBRIA - MOLISE;0;0
via-tertulliano;20137;via tertulliano;UMBRIA - MOLISE;0;0
via-cadolini;20137;via cadolini;UMBRIA - MOLISE;0;0
piazza-imperatore-tito;20137;piazza imperatore tito;UMBRIA - MOLISE;2975;7.75
piazzale-ferdinando-martini;20137;piazzale ferdinando martini;UMBRIA - MOLISE;0;0
via-costanza-arconati;20135;via costanza arconati;UMBRIA - MOLISE;0;0
via-angelo-moro;20097;via angelo moro;TRIULZO SUPERIORE;0;0
via-marignano;20138;via marignano;TRIULZO SUPERIORE;2438;7.5
via-caviaga;20097;via caviaga;TRIULZO SUPERIORE;0;0
strada-paullese;20100;strada paullese;TRIULZO SUPERIORE;0;0
via-nettunense;72;via nettunense;TRIULZO SUPERIORE;0;0
viale-campania;20133;viale campania;CORSICA;3163;10.25
via-marcona;20129;via marcona;CORSICA;0;0
via-giuseppe-compagnoni;20139;via giuseppe compagnoni;CORSICA;0;0
via-battistotti-sassi;20133;via battistotti sassi;CORSICA;0;0
corso--marzo;20129;corso  marzo;CORSICA;0;0
viale-romagna;20133;viale romagna;CORSICA;3163;10.25
viale-corsica;20137;viale corsica;CORSICA;3163;10.25
via-lomellina;20133;via lomellina;CORSICA;0;0
piazza-fusina;20133;piazza fusina;CORSICA;0;0
via-giovanni-battista-piranesi;20137;via giovanni battista piranesi;CORSICA;3163;10.25
via-pellizzone;20133;via pellizzone;CORSICA;;
via-gian-carlo-sismondi;20133;via gian carlo sismondi;CORSICA;0;0
via-reina;20133;via reina;CORSICA;0;0
viale-argonne;20133;viale argonne;CORSICA;0;0
via-luisa-battistotti-sassi;20100;via luisa battistotti sassi;CORSICA;0;0
via-zanella;20133;via zanella;CORSICA;0;0
piazzale-susa;20133;piazzale susa;CORSICA;0;0
piazza-francesco-guardi;20133;piazza francesco guardi;CORSICA;0;0
via-negroli;20133;via negroli;CORSICA;0;0
via-grasselli;20137;via grasselli;CORSICA;0;0
via-giovanni-celoria;20133;via giovanni celoria;CITTA' STUDI;0;0
piazza-leonardo-da-vinci;20133;piazza leonardo da vinci;CITTA' STUDI;0;0
via-denti;20134;via denti;CITTA' STUDI;0;0
viale-gran-sasso;20131;viale gran sasso;CITTA' STUDI;4169;13.38
via-bronzino;20133;via bronzino;CITTA' STUDI;0;0
via-pascoli;20133;via pascoli;CITTA' STUDI;0;0
via-pacini;20131;via pacini;CITTA' STUDI;0;0
via-camillo-golgi;20133;via camillo golgi;CITTA' STUDI;0;0
via-ampère;20131;via ampère;CITTA' STUDI;0;0
via-ampere;20161;via ampere;CITTA' STUDI;0;0
via-moretto-da-brescia;20133;via moretto da brescia;CITTA' STUDI;0;0
via-teodosio;20131;via teodosio;CITTA' STUDI;0;0
via-donatello;20131;via donatello;CITTA' STUDI;0;0
via-plinio;20129;via plinio;CITTA' STUDI;0;0
via-antonio-bazzini;20131;via antonio bazzini;CITTA' STUDI;0;0
piazza-domenico-aspari;20129;piazza domenico aspari;CITTA' STUDI;0;0
via-giovanni-paisiello;20131;via giovanni paisiello;CITTA' STUDI;0;0
viale-abruzzi;;viale abruzzi;CITTA' STUDI;0;0
via-enrico-nöe;20133;via enrico nöe;CITTA' STUDI;0;0
via-maiocchi;20129;via maiocchi;CITTA' STUDI;0;0
via-francesco-lomonaco;20131;via francesco lomonaco;CITTA' STUDI;0;0
via-alfonso-corti;20133;via alfonso corti;CITTA' STUDI;0;0
via-giovanni-pacini;20134;via giovanni pacini;CITTA' STUDI;0;0
via-andrea-maria-ampère;20131;via andrea maria ampère;CITTA' STUDI;0;0
via-antonio-vallisneri;20133;via antonio vallisneri;CITTA' STUDI;0;0
via-carlo-forlanini;20133;via carlo forlanini;CITTA' STUDI;0;0
via-gaetano-strambio;20133;via gaetano strambio;CITTA' STUDI;0;0
via-edoardo-bassini;20133;via edoardo bassini;CITTA' STUDI;0;0
via-filippo-juvara;20129;via filippo juvara;CITTA' STUDI;0;0
via-vallazze;20100;via vallazze;CITTA' STUDI;0;0
via-grossich;20100;via grossich;CITTA' STUDI;0;0
via-aselli;20133;via aselli;CITTA' STUDI;0;0
via-carlo-valvassori-peroni;20133;via carlo valvassori peroni;CITTA' STUDI;0;0
via-bazzini;20131;via bazzini;CITTA' STUDI;0;0
via-vigilio-inama;20133;via vigilio inama;CITTA' STUDI;0;0
via-giuseppe-ponzio;20133;via giuseppe ponzio;CITTA' STUDI;0;0
via-sangallo;20133;via sangallo;CITTA' STUDI;0;0
via-ponzio;20143;via ponzio;CITTA' STUDI;0;0
piazza-ferravilla;20129;piazza ferravilla;CITTA' STUDI;0;0
via-rembrandt;20148;via rembrandt;SELINUNTE;2700;9.5
via-carlo-dolci;20148;via carlo dolci;SELINUNTE;0;0
via-paolo-rembrandt;20148;via paolo rembrandt;SELINUNTE;0;0
via-matteo-civitali;20148;via matteo civitali;SELINUNTE;0;0
via-morgantini;20148;via morgantini;SELINUNTE;0;0
via-daniele-ricciarelli;20148;via daniele ricciarelli;SELINUNTE;0;0
via-vodice;20148;via vodice;SELINUNTE;0;0
piazzale-segesta;20148;piazzale segesta;SELINUNTE;0;0
via-capecelatro;20144;via capecelatro;SELINUNTE;0;0
via-paravia;20148;via paravia;SELINUNTE;0;0
piazza-monte-falterona;20148;piazza monte falterona;SELINUNTE;2700;9.5
via-aretusa;20148;via aretusa;SELINUNTE;0;0
viale-murillo;20149;viale murillo;SELINUNTE;4044;13.26
via-gaudenzio-fantoli;20138;via gaudenzio fantoli;PARCO MONLUE' - PONTE LAMBRO;2438;7.5
via-monluè;20138;via monluè;PARCO MONLUE' - PONTE LAMBRO;0;0
via-mecenate;20138;via mecenate;PARCO MONLUE' - PONTE LAMBRO;0;0
via-trani;20138;via trani;PARCO MONLUE' - PONTE LAMBRO;2438;7.5
via-gianfranco-malipiero;20138;via gianfranco malipiero;PARCO MONLUE' - PONTE LAMBRO;2438;7.5
via-hermada;20162;via hermada;NIGUARDA - CA' GRANDA;0;0
via-val-maira;20162;via val maira;NIGUARDA - CA' GRANDA;0;0
via-terruggia;20162;via terruggia;NIGUARDA - CA' GRANDA;0;0
via-luigi-ornato;20162;via luigi ornato;NIGUARDA - CA' GRANDA;2550;8
via-monzambano;20159;via monzambano;NIGUARDA - CA' GRANDA;2625;8.25
via-carlo-imbonati;20159;via carlo imbonati;NIGUARDA - CA' GRANDA;0;0
via-paulucci-di-calbioli-fulcieri;20162;via paulucci di calbioli fulcieri;NIGUARDA - CA' GRANDA;0;0
via-val-di-ledro;20162;via val di ledro;NIGUARDA - CA' GRANDA;2550;8
via-cesare-brivio;20158;via cesare brivio;NIGUARDA - CA' GRANDA;0;0
via-giuditta-pasta;20161;via giuditta pasta;NIGUARDA - CA' GRANDA;0;0
via-paolo-veronesi;10148;via paolo veronesi;NIGUARDA - CA' GRANDA;0;0
piazza-nizza;20159;piazza nizza;NIGUARDA - CA' GRANDA;0;0
via-montegani;20141;via montegani;STADERA;0;0
via-della-chiesa-rossa;20142;via della chiesa rossa;STADERA;2446;7.92
via-neera;20141;via neera;STADERA;0;0
via-ascanio-sforza;20141;via ascanio sforza;STADERA;2750;9.25
piazza-agrippa;20141;piazza agrippa;STADERA;2588;7
via-francesco-de-sanctis;20141;via francesco de sanctis;STADERA;0;0
via-volvinio;20141;via volvinio;STADERA;2588;7
via-lampedusa;20141;via lampedusa;STADERA;2642;7.75
via-medeghino;20141;via medeghino;STADERA;2588;7
via-lodovico-montegani;20141;via lodovico montegani;STADERA;0;0
via-innocenzo-isimbardi;20141;via innocenzo isimbardi;STADERA;0;0
via-boifava;20141;via boifava;STADERA;0;0
piazza-abbiategrasso;20141;piazza abbiategrasso;STADERA;0;0
viale-giovanni-da-cermenate;20141;viale giovanni da cermenate;STADERA;2669;8.13
via-dei-missaglia;20142;via dei missaglia;STADERA;2588;7
via-donna-prassede;20142;via donna prassede;STADERA;0;0
corso-di-porta-vittoria;20122;corso di porta vittoria;GUASTALLA;0;0
via-della-guastalla;20122;via della guastalla;GUASTALLA;0;0
largo-augusto;20122;largo augusto;GUASTALLA;0;0
via-della-guastalla-n;20122;via della guastalla n;GUASTALLA;0;0
verziere;20122;verziere;GUASTALLA;0;0
via-felice-cavallotti;20122;via felice cavallotti;GUASTALLA;;
via-durini;20122;via durini;GUASTALLA;0;0
via-verziere;20122;via verziere;GUASTALLA;0;0
via-della-commenda;20122;via della commenda;GUASTALLA;7167;21.34
via-conservatorio-a;20122;via conservatorio a;GUASTALLA;0;0
via-besana;20122;via besana;GUASTALLA;0;0
piazza-fontana;20122;piazza fontana;GUASTALLA;0;0
via-san-clemente;20122;via san clemente;GUASTALLA;0;0
piazza-del-liberty;20121;piazza del liberty;GUASTALLA;0;0
