PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SP-SCIA;Demolizione palazzina uffici di 6 livelli: 5 piani fuori terra e 1 seminterrato. Edificio ad uffici appartenente al comparto industriale ex De Nora. Demolizione per bonifica area antistante edificio in attuazione PA via dei  Canzi.;SCIA Art. 22 dpr 380/01: 3 interventi di ristrutturazione edilizia (leggera) di cui all'articolo 3  comma 1  lettera d) del DPR 380/01 rivolti a trasformare gli organismi edilizi mediante un insieme sistematico di opere che possono portare ad un organismo edilizio in tutto o in parte diverso dal precedente ad esclusione dei casi di cui all'art. 10 comma 1 lettera c) del D.P.R. 380/2001 (Attività n. 7 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera c) del d.P.R. n. 380/01 );2019-05-17T00:00:00.000+02:00;2022-05-17T00:00:00.000+02:00;VIA S. FAUSTINO N.  65;9.24193693453;45.4771847862;45.4771847862, 9.24193693453
autorizzazione;opere di completamento installazione di due ascensori;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-05-15T00:00:00.000+02:00;2023-05-15T00:00:00.000+02:00;VIA TOCE N.  9;9.18591484967;45.4923570352;45.4923570352, 9.18591484967
autorizzazione;INSTALLAZIONE DI UN IMPIANTO ASCENSORE IN VANO SCALA IN EDIFICIO RESIDENZIALE  ESISTENTE (IMPIANTO IN DEROGA AL DM 236/89);PDC 1.1.6 Nuova costruzione [DPR 380/01 - Art.3 - c. 1 - lett. e]: interventi pertinenziali che le norme tecniche degli strumenti urbanistici -in relazione alla zonizzazione e al pregio ambientale e paesaggistico delle aree- qualifichino come interventi di nuova costruzione ovvero che comportino la realizzazione di un volume superiore al 20% del volume dell'edificio principale (Attivita' n. 17 - Tabella A - Sez. II del d.lgs. 222/2016);2019-05-14T00:00:00.000+02:00;2023-05-14T00:00:00.000+02:00;VIA FLLI BRONZETTI N.  11  PIANO TUTTI;9.21491569989;45.4662033803;45.4662033803, 9.21491569989
SCIA;Scia variante finale  - modifiche interne e adeguamento aperture in facciata - modifica a recinzione (ottenuto parere CdP gennaio 2019 ) ** UNITE PRATICHE PRECEDENTI**;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-05-03T00:00:00.000+02:00;2022-05-03T00:00:00.000+02:00;VIA BALZARETTI GIUSEP N.  3;9.22171877884685;45.476246774439;45.476246774439, 9.22171877884685
SI-SCIA;RIFACIMENTO BALLATOI (SOLETTE, IMPERMEABILIZZAZIONI E PAVIMENTAZIONI);SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2019-05-03T00:00:00.000+02:00;2022-05-03T00:00:00.000+02:00;VIALE MONTE NERO N.  34;9.20498630249;45.4559708241;45.4559708241, 9.20498630249
comunicazione inizio attività edilizia libera;CAMBIO USO DA LABORATORIO A RESIDENZA CON PICCOLE OPERE INTERNE;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-05-03T00:00:00.000+02:00;2022-05-03T00:00:00.000+02:00;VIA MECENATE N.  76 / 17  PIANO 1-2;9.24674183565;45.4516085001;45.4516085001, 9.24674183565
autorizzazione; VIA BRACCIO DA MONTON N.  2     Installazione di nuova piattaforma elevatrice all'interno del vano scala  condominiale del civico 2 e relative opere complementari.;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-05-02T00:00:00.000+02:00;2023-05-02T00:00:00.000+02:00;VIA BRACCIO DA MONTON N.  2;9.17797264069;45.4805568774;45.4805568774, 9.17797264069
comunicazione inizio attività edilizia libera;VIA PREDABISSI 6 - restauro e risanamento conservativo per recupero di seminterrato e variazione  di destinazione d'uso;CILA 2 -  Interventi di restauro e risanamento conservativo di cui all'articolo 3 - comma 1 - lettera c) del d.P.R. n. 380/2001 qualora non riguardino parti strutturali dell'edificio (Attività n. 5 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2019-05-02T00:00:00.000+02:00;2022-05-02T00:00:00.000+02:00;VIA PREDABISSI FRANCE N.  6  PIANO -1;9.22345241123;45.4909228351;45.4909228351, 9.22345241123
SCIA;SCIA IN VARIANTE A PERMESSO DI COSTRUIRE n.220 del 16/10/2017 (e a successive  varianti SCIA 29/06/2018 Progr.22594/2018 PG.289418/2018 e SCIA 18/10/2018  Progr.35491/2018 PG.454808/2018);SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-04-27T00:00:00.000+02:00;2022-04-27T00:00:00.000+02:00;VIA GIOIA MELCHIORRE N.  181;9.20781585952004;45.4967550223665;45.4967550223665, 9.20781585952004
comunicazione inizio attività edilizia libera;DIVERSA DISTRIBUZIONE DEGLI SPAZI INTERNI E SOSTITUZIONE IMPIANTO DI  CLIMATIZZAZIONE E VENTILAZIONE;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-04-25T00:00:00.000+02:00;2022-04-25T00:00:00.000+02:00;VIA VOLTURNO N.  44  PIANO S1;9.19136988867564;45.4883191072952;45.4883191072952, 9.19136988867564
comunicazione inizio attività edilizia libera;Cambio d'uso con piccole opere interne;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-04-21T00:00:00.000+02:00;2022-04-21T00:00:00.000+02:00;VIA COSENZ ENRICO N.  22;9.16572160142;45.5076279973;45.5076279973, 9.16572160142
SCIA Unica alternativa a PDC;via TRASIMENO, 84 Variante in corso d'opera PDC n.29 del 22 Gen 2018 W.F. 17743/2016 - Lievi modifiche interne e ampliamento volume sottotetto;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-04-20T00:00:00.000+02:00;2022-04-20T00:00:00.000+02:00;VIA TRASIMENO N.  84;9.25130041694;45.5173984058;45.5173984058, 9.25130041694
comunicazione inizio attività edilizia libera;Sanatoria per la realizzazione di bagno-wc;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-04-19T00:00:00.000+02:00;2022-04-19T00:00:00.000+02:00;VIA ARQUA' N.  10  PIANO 3;9.22795125102;45.4926635247;45.4926635247, 9.22795125102
autorizzazione;CREAZIONE DI LOCALE SPAZZATURA;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-04-19T00:00:00.000+02:00;2023-04-19T00:00:00.000+02:00;VIA ASELLI GASPARE N.  6;9.23034604383;45.469188329;45.469188329, 9.23034604383
autorizzazione;modifica alla rampa della scala condominiale per migliore fruibilità, previa  demolizione dell'ultima rampa della scala condominiale, taglio parziale della  soletta del pianerottolo comune, inserimento di nuova scala metallica e  modifica della copertura della scala.;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-04-18T00:00:00.000+02:00;2023-04-18T00:00:00.000+02:00;VIA BRUNI LEONARDO N.  18  PIANO 3/4;9.17481902436;45.5010753693;45.5010753693, 9.17481902436
SCIA; ristrutturazione leggera  al piano seminterrato e ristrutturazione leggera e pesante ai piani rialzatao e primo. Modifiche alla scala interna all'unità immobiliare, traslazione di slp all'interno della sagoma esistente. Non saranno realizzate le logge inaccessibili - Variante a w.f. 31760/2018;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-04-17T00:00:00.000+02:00;2022-04-17T00:00:00.000+02:00;VIA CORRIDONI FILIPPO N.  15;9.20165386223537;45.4637043948019;45.4637043948019, 9.20165386223537
SCIA alternativa a PDC;SCIA IN VARIANTE DI SCIA PROT. 32475/2018 DEL 26/09/2018 - Via GIOVANNI DA MILANO, 6 **UNITA PRATICA WF 32475/2018***;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-04-17T00:00:00.000+02:00;2022-04-17T00:00:00.000+02:00;VIA GIOVANNI DA MILAN N.  6;9.22527825634;45.4693098149;45.4693098149, 9.22527825634
comunicazione inizio attività edilizia libera;Viale Sarca / Via Venosta Adeguamento ciclabile e pedonale - CILA trapianto  alberature;CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2019-04-17T00:00:00.000+02:00;2022-04-17T00:00:00.000+02:00;VIALE SARCA N.  0;9.2157;45.5208;45.5208, 9.2157
SCIA alternativa a PDC;Recupero abitativo piano seminterrato;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-04-16T00:00:00.000+02:00;2022-04-16T00:00:00.000+02:00;VIA PRAMPOLINI CAMILL N.  6  PIANO S1;9.18013085603;45.4988261936;45.4988261936, 9.18013085603
autorizzazione;Installazione di ascensore interno a vano scale esistente in deroga a L.R.  6/1989 e L. 13/1989;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-04-15T00:00:00.000+02:00;2023-04-15T00:00:00.000+02:00;VIA TELLINI ENRICO N.  6;9.16342076389;45.490494568;45.490494568, 9.16342076389
SCIA alternativa a PDC;SCIA ALTERNATIVA AL PDC - in Via Principe Amedeo, 5;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-04-13T00:00:00.000+02:00;2022-04-13T00:00:00.000+02:00;VIA PRINCIPE AMEDEO N.  5;9.19398102448;45.4753557679;45.4753557679, 9.19398102448
SCIA;SCIA a Variante SCIA W.F. 16715/2018;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-04-12T00:00:00.000+02:00;2022-04-12T00:00:00.000+02:00;VIA BELINZAGHI GIULIO N.  3;9.18705645598;45.4955069885;45.4955069885, 9.18705645598
SCIA;SCIA A VARIANTE SCIA CONDIZIONATA RIF. W.F. 30230/18;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-04-04T00:00:00.000+02:00;2022-04-04T00:00:00.000+02:00;VIA MENOTTI CIRO N.  14;9.21340280542;45.470083767;45.470083767, 9.21340280542
SI-SCIA;Realizzazione soppalco e modifiche in facciata;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-04-03T00:00:00.000+02:00;2022-04-03T00:00:00.000+02:00;VIA GIOVANNI DA MILAN N.  17;9.22555558318;45.4697534761;45.4697534761, 9.22555558318
SI-SCIA;VIALE DI PORTA VERCEL N.  15  PIANO terra -Intervento locale di sostituzione di travi esistenti;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-04-02T00:00:00.000+02:00;2022-04-02T00:00:00.000+02:00;VIALE DI PORTA VERCEL N.  15  PIANO terra;9.16538301074;45.463634444;45.463634444, 9.16538301074
SP-SCIA alternativa a PDC;Nuova costruzione di un complesso residenziale a L con corpo basso di 7 piani  fuori terra e corpo alto di 9 piani fuori terra più un piano interrato adibito  ad autorimessa. lotto facente parte del P.I.I. Merezzate UDC2;SCIA art. 23 DPR 380/01: 2 interventi di nuova costruzione o di ristrutturazione urbanistica qualora siano disciplinati da piani attuativi/accordi negoziali aventi valore di piano attuativo che contengano precise disposizioni plano-volumetriche/tipologiche/formali/costruttive la cui sussistenza sia stata esplicitamente dichiarata dal competente organo comunale in sede di approvazione degli stessi piani o di ricognizione di quelli vigenti (Attività n. 10 - Tabella A - Sez. II del d.lgs. 222/2016);2019-04-02T00:00:00.000+02:00;2022-04-02T00:00:00.000+02:00;VIA CASCINA MEREZZATE N.  0;9.2398;45.4433;45.4433, 9.2398
SI-SCIA a sportello;SCIA A VARIANTE SCIA - in Via Imperia 3  ;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-04-01T00:00:00.000+02:00;2022-04-01T00:00:00.000+02:00;VIA IMPERIA N.  3;9.17496742144382;45.4417477047565;45.4417477047565, 9.17496742144382
SCIA Unica alternativa a PDC;SCIA UNICA ALTERNATIVA A PDC - opere di completamento - in C.so G. Garibaldi, 84;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-30T00:00:00.000+01:00;2022-03-30T00:00:00.000+02:00;CORSO GARIBALDI N.  84;9.18443970301;45.4770124558;45.4770124558, 9.18443970301
SCIA alternativa a PDC;Recupero di deposito SPP posto al piano seminterrato, ai sensi della LR n. 7  del 10 marzo 2017, collegamento tramite scala interna a locale commerciale  esistente al piano terra, demolizione e ricostruzione di tavolati e  realizzazione di nuovo servizio igienico.;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-03-30T00:00:00.000+01:00;2022-03-30T00:00:00.000+02:00;VIA PAVIA N.  3  PIANO T-SI;9.17867404328;45.4472488059;45.4472488059, 9.17867404328
